Personnel,Formation,Family_or_System,Source,Notes,Analyst_Notes,Trips_Family,Trips_Contains_TE,Other_Used_Names,Personnel_Differences
10,Orange (Run & Shoot),Run & Shoot,Universal,Trips-style 3x1 in R&S color system.,,,,Orange; Run & Shoot Trips,Only appears in 10 personnel in this dictionary.
10,ACE,2x2,BlitzIQ,"Shotgun 2x2, RB offset; 4WR or 3WR+Y-flex",Default 2x2 shell when nothing special is going on.,,,Doubles; 2x2,"In 10p: Shotgun 2x2, RB offset; 4WR or 3WR+Y-flex Also used in 11p: Shotgun 2x2, RB offset; 4WR or 3WR+Y-flex."
10,ACE TITE,2x2,BlitzIQ,2x2 with both outside WR in reduced/nasty splits near core,"Use for condensed 2x2 sets, especially RZ / crossers / crack game.",,,Condensed 2x2,In 10p: 2x2 with both outside WR in reduced/nasty splits near core Also used in 11p: 2x2 with both outside WR in reduced/nasty splits near core.
10,ACE STACK,2x2,BlitzIQ,2x2 with vertical stacks on one or both sides,Click when you see stacked WR (one directly behind the other).,,,Stack 2x2,Only appears in 10 personnel in this dictionary.
10,ACE BUNCH,2x2,BlitzIQ,2x2 shell with bunch/cluster presentations,Covers double-bunch or a bunch + single within a 2x2 shell.,,,Bunch 2x2,In 10p: 2x2 shell with bunch/cluster presentations Also used in 11p: 2x2 shell with bunch/cluster presentations.
10,TRIPS,3x1,BlitzIQ,"3 WR to trips side, iso WR or TE backside; TE is not one of the three in the trips surface.","Use when trips side is pure WR group. TE, if present, is backside/nub or detached away.",TRIPS,0,3x1; Trips WR,"In 10p: 3 WR to trips side, iso WR or TE backside; TE is not one of the three in the trips surface. Also used in 11p: 3 WR to trips side, iso WR or TE backside; TE is not one of the three in the trips surface.."
10,TRIPS TITE,3x1,BlitzIQ,3 WR very reduced on trips side; TE (if present) is not part of those three.,Condensed WR trips; TE is away/backside.,TRIPS,0,Condensed WR Trips,In 10p: 3 WR very reduced on trips side; TE (if present) is not part of those three. Also used in 11p: 3 WR very reduced on trips side; TE (if present) is not part of those three..
10,TRIPS BUNCH,3x1,BlitzIQ,3 WR bunch/cluster on trips side; TE is not one of the bunch players.,Pure WR bunch trips; TE is away/backside if on the field.,TRIPS,0,Bunch WR Trips,In 10p: 3 WR bunch/cluster on trips side; TE is not one of the bunch players. Also used in 11p: 3 WR bunch/cluster on trips side; TE is not one of the bunch players..
10,TRIPS FIELD,3x1,BlitzIQ,3 WR trips clearly to the field; TE (if present) is backside.,Trips to the wide field with 3 WR.,TRIPS,0,Field WR Trips,In 10p: 3 WR trips clearly to the field; TE (if present) is backside. Also used in 11p: 3 WR trips clearly to the field; TE (if present) is backside..
10,TRIPS INTO BOUNDARY,3x1,BlitzIQ,3 WR trips clearly into the boundary; TE (if present) is backside.,FIB pure WR trips – major tendency flag.,TRIPS,0,FIB WR Trips,In 10p: 3 WR trips clearly into the boundary; TE (if present) is backside. Also used in 11p: 3 WR trips clearly into the boundary; TE (if present) is backside..
10,SOLO,Empty 3x2,BlitzIQ,"Empty with 3 eligibles strong and 2 weak, QB alone.",Default 3x2 empty call – TE may be flexed out if 11p.,,,Empty 3x2,"In 10p: Empty with 3 eligibles strong and 2 weak, QB alone. Also used in 11p: Empty with 3 eligibles strong and 2 weak, QB alone.."
10,SWARM,Empty 4x1,BlitzIQ,Empty with 4 eligibles to one side and 1 iso opposite.,High-stress 4x1 empty; requires special coverage rules.,,,Empty 4x1,In 10p: Empty with 4 eligibles to one side and 1 iso opposite. Also used in 11p: Empty with 4 eligibles to one side and 1 iso opposite..
11,Doubles / Ace (2x2),Spread/Pro,Universal,2x2 with 3 WR and TE flexed or inline.,,,,Doubles; Ace; Deuce,"In 11p: 2x2 with 3 WR and TE flexed or inline. Also used in 10p: 2x2 single-back, 4 WR; core spread base.."
11,Trips (3x1),Spread/Pro,Universal,3x1 with 3 WR and TE inline or detached.,,,,Trips; Trio,"In 11p: 3x1 with 3 WR and TE inline or detached. Also used in 10p: 3x1 single-back, 4 WR.."
11,Twins,Spread/Pro,Universal,"Two WR one side, single WR opposite with TE somewhere.",,,,Twins; Pro Twins,Only appears in 11 personnel in this dictionary.
11,Slot / Pro Slot,Spread/Pro,Universal,"Outside WR + slot/TE to one side, single WR opposite.",,,,Slot; Pro Slot; King; Queen,Only appears in 11 personnel in this dictionary.
11,Ace (Air Raid),Air Raid,Universal,2x2 with Y potentially flexed; Air Raid flavor.,,,,Ace (Air Raid 2x2),In 11p: 2x2 with Y potentially flexed; Air Raid flavor. Also used in 10p: 2x2 one-back gun; base Air Raid set..
11,Early,Air Raid,Universal,Trips right one-back with TE in mix.,,,,Trips Right (Air Raid),In 11p: Trips right one-back with TE in mix. Also used in 10p: Trips right one-back gun in Air Raid families..
11,Late,Air Raid,Universal,Trips left one-back with TE in mix.,,,,Trips Left (Air Raid),In 11p: Trips left one-back with TE in mix. Also used in 10p: Trips left one-back gun in Air Raid families..
11,Zebra,West Coast,Universal,Common WCO 11-personnel formation family.,,,,11p Zebra,Only appears in 11 personnel in this dictionary.
11,11p Y-Off base (2x2),Power Spread,Universal,"2x2 with Y-off/sniffer, one RB, three WR.",,,,11p Y-Off; Sniffer set,Only appears in 11 personnel in this dictionary.
11,11p Y-Off Trips,Power Spread,Universal,"3x1 with Y-off/sniffer, one RB, three WR.",,,,Trips Y-Off; Sniffer Trips,Only appears in 11 personnel in this dictionary.
11,ACE,2x2,BlitzIQ,"Shotgun 2x2, RB offset; 4WR or 3WR+Y-flex",Default 2x2 shell when nothing special is going on.,,,Doubles; 2x2,"In 11p: Shotgun 2x2, RB offset; 4WR or 3WR+Y-flex Also used in 10p: Shotgun 2x2, RB offset; 4WR or 3WR+Y-flex."
11,ACE TITE,2x2,BlitzIQ,2x2 with both outside WR in reduced/nasty splits near core,"Use for condensed 2x2 sets, especially RZ / crossers / crack game.",,,Condensed 2x2,In 11p: 2x2 with both outside WR in reduced/nasty splits near core Also used in 10p: 2x2 with both outside WR in reduced/nasty splits near core.
11,ACE BUNCH,2x2,BlitzIQ,2x2 shell with bunch/cluster presentations,Covers double-bunch or a bunch + single within a 2x2 shell.,,,Bunch 2x2,In 11p: 2x2 shell with bunch/cluster presentations Also used in 10p: 2x2 shell with bunch/cluster presentations.
11,ACE NUB,2x2,BlitzIQ,Looks like 2x2 but one side is nub TE and the other has two WR.,Tag when nub TE side still fits your 2x2 shell logic.,,,2x2 Nub TE,In 11p: Looks like 2x2 but one side is nub TE and the other has two WR. Also used in 12p: Looks like 2x2 but one side is nub TE and the other has two WR..
11,ACE YOFF,2x2,BlitzIQ,2x2 with Y as off-the-ball H/sniffer near tackle or guard.,Go-to 11p Y-off 2x2 look (split zone/insert/counter world).,,,Y-Off 2x2; Sniffer 2x2,Only appears in 11 personnel in this dictionary.
11,TRIPS,3x1,BlitzIQ,"3 WR to trips side, iso WR or TE backside; TE is not one of the three in the trips surface.","Use when trips side is pure WR group. TE, if present, is backside/nub or detached away.",TRIPS,0,3x1; Trips WR,"In 11p: 3 WR to trips side, iso WR or TE backside; TE is not one of the three in the trips surface. Also used in 10p: 3 WR to trips side, iso WR or TE backside; TE is not one of the three in the trips surface.."
11,TRIPS TITE,3x1,BlitzIQ,3 WR very reduced on trips side; TE (if present) is not part of those three.,Condensed WR trips; TE is away/backside.,TRIPS,0,Condensed WR Trips,In 11p: 3 WR very reduced on trips side; TE (if present) is not part of those three. Also used in 10p: 3 WR very reduced on trips side; TE (if present) is not part of those three..
11,TRIPS BUNCH,3x1,BlitzIQ,3 WR bunch/cluster on trips side; TE is not one of the bunch players.,Pure WR bunch trips; TE is away/backside if on the field.,TRIPS,0,Bunch WR Trips,In 11p: 3 WR bunch/cluster on trips side; TE is not one of the bunch players. Also used in 10p: 3 WR bunch/cluster on trips side; TE is not one of the bunch players..
11,TRIPS FIELD,3x1,BlitzIQ,3 WR trips clearly to the field; TE (if present) is backside.,Trips to the wide field with 3 WR.,TRIPS,0,Field WR Trips,In 11p: 3 WR trips clearly to the field; TE (if present) is backside. Also used in 10p: 3 WR trips clearly to the field; TE (if present) is backside..
11,TRIPS INTO BOUNDARY,3x1,BlitzIQ,3 WR trips clearly into the boundary; TE (if present) is backside.,FIB pure WR trips – major tendency flag.,TRIPS,0,FIB WR Trips,In 11p: 3 WR trips clearly into the boundary; TE (if present) is backside. Also used in 10p: 3 WR trips clearly into the boundary; TE (if present) is backside..
11,TRIPS NUB,3x1,BlitzIQ,3 WR trips to one side with nub TE opposite and no WR weak.,Trips WR group with nub TE away; strong structural indicator.,TRIPS,0,Trips WR + Nub TE,In 11p: 3 WR trips to one side with nub TE opposite and no WR weak. Also used in 12p: 3 WR trips to one side with nub TE opposite and no WR weak..
11,TREY,3x1,BlitzIQ,3-man surface with TE as one of the three to the trips side.,"Use when TE is clearly in the trips surface (Y + 2 WR, or Y + WR + wing).",TREY,1,TE Trips; Y Trips,In 11p: 3-man surface with TE as one of the three to the trips side. Also used in 12p: 3-man surface with TE as one of the three to the trips side..
11,TREY TITE,3x1,BlitzIQ,3-man surface including TE with very reduced/tight splits.,Condensed TE trips sets: TE and WRs packed near core.,TREY,1,Condensed TE Trips,In 11p: 3-man surface including TE with very reduced/tight splits. Also used in 12p: 3-man surface including TE with very reduced/tight splits..
11,TREY BUNCH,3x1,BlitzIQ,3-man surface with TE included in the bunch/cluster.,Click when TE is one of the bunch points in a 3-man surface.,TREY,1,TE Bunch Trips,In 11p: 3-man surface with TE included in the bunch/cluster. Also used in 12p: 3-man surface with TE included in the bunch/cluster..
11,TREY FIELD,3x1,BlitzIQ,TE-in-trips 3-man surface to the field side.,Field TE trips – helps separate from pure WR field trips.,TREY,1,Field TE Trips,In 11p: TE-in-trips 3-man surface to the field side. Also used in 12p: TE-in-trips 3-man surface to the field side..
11,TREY INTO BOUNDARY,3x1,BlitzIQ,TE-in-trips 3-man surface into the boundary.,FIB TE trips; huge formation alert.,TREY,1,FIB TE Trips,In 11p: TE-in-trips 3-man surface into the boundary. Also used in 12p: TE-in-trips 3-man surface into the boundary..
11,PACK TITE,Condensed,BlitzIQ,All eligibles in tight splits with TE surface and heavy motion use.,"Rams-style condensed spread sets; everyone tight, motion-heavy.",,,Condensed pack set; Rams-style,In 11p: All eligibles in tight splits with TE surface and heavy motion use. Also used in 12p: All eligibles in tight splits with TE surface and heavy motion use..
11,SOLO,Empty 3x2,BlitzIQ,"Empty with 3 eligibles strong and 2 weak, QB alone.",Default 3x2 empty call – TE may be flexed out if 11p.,,,Empty 3x2,"In 11p: Empty with 3 eligibles strong and 2 weak, QB alone. Also used in 10p: Empty with 3 eligibles strong and 2 weak, QB alone.."
11,SWARM,Empty 4x1,BlitzIQ,Empty with 4 eligibles to one side and 1 iso opposite.,High-stress 4x1 empty; requires special coverage rules.,,,Empty 4x1,In 11p: Empty with 4 eligibles to one side and 1 iso opposite. Also used in 10p: Empty with 4 eligibles to one side and 1 iso opposite..
11,TREY YOFF,3x1 Y-Off,BlitzIQ,3x1 with Y-off/sniffer.,3x1 trips with Y-off/sniffer; TE is off the ball in the core.,TREY,1,TE Trips Y-Off,Only appears in 11 personnel in this dictionary.
12,12 (Twin Tight / Ace / Big),Pro/Spread,Universal,"1 RB, 2 TE, 2 WR in either 2x2 or 3x1 structures.",,,,Twin Tight; Ace; Big; Deuce,Only appears in 12 personnel in this dictionary.
12,Heavy / Big (12),Pro/Spread,Universal,Heavier version of 12 with tight splits; run-heavy.,,,,12 Heavy; Big 12; 12 Jumbo,Only appears in 12 personnel in this dictionary.
12,Wing-T Red/Blue variants (with 2 TE),Wing-T,Universal,Double-wing-ish looks built with two TE bodies.,,,,,Only appears in 12 personnel in this dictionary.
12,Zebra / Tiger / Ace (12 flavor),West Coast,Universal,WCO families where 12p is given its own animal/label.,,,,Zebra; Tiger; Ace (12),Only appears in 12 personnel in this dictionary.
12,ACE NUB,2x2,BlitzIQ,Looks like 2x2 but one side is nub TE and the other has two WR.,Tag when nub TE side still fits your 2x2 shell logic.,,,2x2 Nub TE,In 12p: Looks like 2x2 but one side is nub TE and the other has two WR. Also used in 11p: Looks like 2x2 but one side is nub TE and the other has two WR..
12,TRIPS NUB,3x1,BlitzIQ,3 WR trips to one side with nub TE opposite and no WR weak.,Trips WR group with nub TE away; strong structural indicator.,TRIPS,0,Trips WR + Nub TE,In 12p: 3 WR trips to one side with nub TE opposite and no WR weak. Also used in 11p: 3 WR trips to one side with nub TE opposite and no WR weak..
12,TREY,3x1,BlitzIQ,3-man surface with TE as one of the three to the trips side.,"Use when TE is clearly in the trips surface (Y + 2 WR, or Y + WR + wing).",TREY,1,TE Trips; Y Trips,In 12p: 3-man surface with TE as one of the three to the trips side. Also used in 11p: 3-man surface with TE as one of the three to the trips side..
12,TREY TITE,3x1,BlitzIQ,3-man surface including TE with very reduced/tight splits.,Condensed TE trips sets: TE and WRs packed near core.,TREY,1,Condensed TE Trips,In 12p: 3-man surface including TE with very reduced/tight splits. Also used in 11p: 3-man surface including TE with very reduced/tight splits..
12,TREY BUNCH,3x1,BlitzIQ,3-man surface with TE included in the bunch/cluster.,Click when TE is one of the bunch points in a 3-man surface.,TREY,1,TE Bunch Trips,In 12p: 3-man surface with TE included in the bunch/cluster. Also used in 11p: 3-man surface with TE included in the bunch/cluster..
12,TREY FIELD,3x1,BlitzIQ,TE-in-trips 3-man surface to the field side.,Field TE trips – helps separate from pure WR field trips.,TREY,1,Field TE Trips,In 12p: TE-in-trips 3-man surface to the field side. Also used in 11p: TE-in-trips 3-man surface to the field side..
12,TREY INTO BOUNDARY,3x1,BlitzIQ,TE-in-trips 3-man surface into the boundary.,FIB TE trips; huge formation alert.,TREY,1,FIB TE Trips,In 12p: TE-in-trips 3-man surface into the boundary. Also used in 11p: TE-in-trips 3-man surface into the boundary..
12,TREY NUB,3x1,BlitzIQ,3-man TE trips surface with another TE or nub element built into the formation.,Reserve for special TE-heavy 3x1 where trips clearly includes a TE and there is an additional nub/extra TE piece.,TREY,1,Heavy TE Trips,In 12p: 3-man TE trips surface with another TE or nub element built into the formation. Also used in 13p: 3-man TE trips surface with another TE or nub element built into the formation..
12,HEAVY Y,Varies (often 2x2 or 3x1),BlitzIQ,Heavy TE surface with 2+ TE bodies and compressed splits.,"Covers heavy TE surfaces regardless of exact shell – short yardage, GL, heavy PA looks.",,,Heavy TE surface; Big set,In 12p: Heavy TE surface with 2+ TE bodies and compressed splits. Also used in 21p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 22p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 23p: Heavy TE surface with 2+ TE bodies and compressed splits..
12,PACK TITE,Condensed,BlitzIQ,All eligibles in tight splits with TE surface and heavy motion use.,"Rams-style condensed spread sets; everyone tight, motion-heavy.",,,Condensed pack set; Rams-style,In 12p: All eligibles in tight splits with TE surface and heavy motion use. Also used in 11p: All eligibles in tight splits with TE surface and heavy motion use..
13,Heavy / Jumbo / Mammoth (13),Heavy,Universal,"1 RB, 3 TE, 1 WR; ultra-heavy GL/short yardage.",,,,13 Heavy; Jumbo; Mammoth,Only appears in 13 personnel in this dictionary.
13,Double Wing / TE-over (functional 13),Double Wing,Universal,Double-wing style sets where wings are TE bodies.,,,,Double Wing TE-over,Only appears in 13 personnel in this dictionary.
13,TREY NUB,3x1,BlitzIQ,3-man TE trips surface with another TE or nub element built into the formation.,Reserve for special TE-heavy 3x1 where trips clearly includes a TE and there is an additional nub/extra TE piece.,TREY,1,Heavy TE Trips,In 13p: 3-man TE trips surface with another TE or nub element built into the formation. Also used in 12p: 3-man TE trips surface with another TE or nub element built into the formation..
20,Split Backs (gun),Spread,Universal,"2 RB split next to QB in gun, 3 WR.",,,,,Only appears in 20 personnel in this dictionary.
20,Trips/Twins sets from 20,Spread,Universal,3 WR + 2 RB in spread distributions.,,,,,Only appears in 20 personnel in this dictionary.
20,Blue / Green (Air Raid two-back),Air Raid,Universal,Older Air Raid two-back groupings using color names.,,,,Blue; Green two-back,Only appears in 20 personnel in this dictionary.
20,Run & Shoot 2-back variants,Run & Shoot,Universal,R&S flavors with two RB and 3 WR.,,,,,Only appears in 20 personnel in this dictionary.
20,DIAMOND,Full House,BlitzIQ,Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR.,Use whenever you see full-house triangle/diamond backfield around the QB.,,,Full House Gun; Diamond; Train,In 20p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR. Also used in 21p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR.; in 30p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR..
21,Pro,Pro,Universal,Classic TE + FB + TB + 2 WR sets.,,,,,Only appears in 21 personnel in this dictionary.
21,I-Formation / Regular I,Pro,Universal,"QB under center, FB and TB stacked.",,,,,Only appears in 21 personnel in this dictionary.
21,Strong I,Pro,Universal,I with FB and TE to strength.,,,,,Only appears in 21 personnel in this dictionary.
21,Weak I,Pro,Universal,I with FB away from TE.,,,,,Only appears in 21 personnel in this dictionary.
21,Offset I (Near/Far),Pro,Universal,FB offset toward (Near) or away (Far) from TE.,,,,,Only appears in 21 personnel in this dictionary.
21,Split Backs,Pro,Universal,Two backs split behind QB with TE on.,,,,,Only appears in 21 personnel in this dictionary.
21,Red (WCO),West Coast,Universal,Classic WCO 21p split-backs/near-far family.,,,,Red; Pro Right/Left,Only appears in 21 personnel in this dictionary.
21,Blue (WCO),West Coast,Universal,Near-backs family in WCO.,,,,Blue; Near formation,Only appears in 21 personnel in this dictionary.
21,Brown (WCO),West Coast,Universal,Far-backs family in WCO.,,,,,Only appears in 21 personnel in this dictionary.
21,Green (WCO),West Coast,Universal,I-formation under the WCO color tree.,,,,Green; I-Formation,Only appears in 21 personnel in this dictionary.
21,Wing-T 100,Wing-T,Universal,TE+Wing to right with FB + HB; 21-ish structure.,,,,100; TE/Wing Right,Only appears in 21 personnel in this dictionary.
21,Wing-T 900,Wing-T,Universal,TE+Wing to left with FB + HB; 21-ish structure.,,,,900; TE/Wing Left,Only appears in 21 personnel in this dictionary.
21,Gun 100 / Gun Wing,Gun-T / Wing-T,Universal,Gun version of Wing-T with TE + Wing and two backs.,,,,,Only appears in 21 personnel in this dictionary.
21,Pro Twins / Pro Slot,Pro,Universal,21p with two WR to one side and TE other.,,,,Pro Twins; Pro Slot; Deuce,Only appears in 21 personnel in this dictionary.
21,HEAVY Y,Varies (often 2x2 or 3x1),BlitzIQ,Heavy TE surface with 2+ TE bodies and compressed splits.,"Covers heavy TE surfaces regardless of exact shell – short yardage, GL, heavy PA looks.",,,Heavy TE surface; Big set,In 21p: Heavy TE surface with 2+ TE bodies and compressed splits. Also used in 12p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 22p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 23p: Heavy TE surface with 2+ TE bodies and compressed splits..
21,GUN WING,Gun Wing,BlitzIQ,"Gun with TE and wing creating a big surface, FB/H as sniffer or offset.",Shotgun Wing-T style set; heavy edge runs and motion.,,,Gun Wing-T; Gun 100,Only appears in 21 personnel in this dictionary.
21,DIAMOND,Full House,BlitzIQ,Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR.,Use whenever you see full-house triangle/diamond backfield around the QB.,,,Full House Gun; Diamond; Train,In 21p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR. Also used in 20p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR.; in 30p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR..
22,22 Heavy / Big / Jumbo,Heavy,Universal,"2 RB, 2 TE, 1 WR; GL/short yardage heavy formations.",,,,22 Heavy; 22 Big; 22 Jumbo,Only appears in 22 personnel in this dictionary.
22,Wing-T Red,Wing-T,Universal,Double-wing style to the right; 22/30 hybrid.,,,,Red; Double Wing Right,Only appears in 22 personnel in this dictionary.
22,Wing-T Blue,Wing-T,Universal,Double-wing style to the left; 22/30 hybrid.,,,,Blue; Double Wing Left,Only appears in 22 personnel in this dictionary.
22,Double Wing (under center),Double Wing,Universal,2 WB + 2 TE-type + FB; functionally 22/30.,,,,Double Wing; DW,Only appears in 22 personnel in this dictionary.
22,HEAVY Y,Varies (often 2x2 or 3x1),BlitzIQ,Heavy TE surface with 2+ TE bodies and compressed splits.,"Covers heavy TE surfaces regardless of exact shell – short yardage, GL, heavy PA looks.",,,Heavy TE surface; Big set,In 22p: Heavy TE surface with 2+ TE bodies and compressed splits. Also used in 12p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 21p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 23p: Heavy TE surface with 2+ TE bodies and compressed splits..
22,GUN DOUBLE WING,Gun Double Wing,BlitzIQ,Gun double wing with tight splits and wings off each side of core.,Classic double wing from gun; constant motion and edge runs.,,,Gun Double Wing-T,Only appears in 22 personnel in this dictionary.
23,Mammoth / Rhino / 23 Heavy,Heavy,Universal,"2 RB, 3 TE; no WR; extreme GL/short yardage sets.",,,,Mammoth; Rhino; 23 Heavy,Only appears in 23 personnel in this dictionary.
23,Goal-line unbalanced GL sets,Heavy/Unbalanced,Universal,Any GL packages with 3 TE bodies and 2 RB.,,,,,Only appears in 23 personnel in this dictionary.
23,HEAVY Y,Varies (often 2x2 or 3x1),BlitzIQ,Heavy TE surface with 2+ TE bodies and compressed splits.,"Covers heavy TE surfaces regardless of exact shell – short yardage, GL, heavy PA looks.",,,Heavy TE surface; Big set,In 23p: Heavy TE surface with 2+ TE bodies and compressed splits. Also used in 12p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 21p: Heavy TE surface with 2+ TE bodies and compressed splits.; in 22p: Heavy TE surface with 2+ TE bodies and compressed splits..
30,Full House (under center),Pro/Option,Universal,QB under center with 3 backs in full-house and 2 WR.,,,,,Only appears in 30 personnel in this dictionary.
30,Flexbone / Double Slot,Flexbone,Universal,"QB, FB, 2 slotbacks, 2 WR as classic flexbone.",,,,Flexbone; Double Slot,Only appears in 30 personnel in this dictionary.
30,Flexbone Tight,Flexbone,Universal,Flexbone with split ends reduced/condensed.,,,,,Only appears in 30 personnel in this dictionary.
30,Flexbone Heavy,Flexbone,Universal,Heavier flexbone with extra blocker types on surface.,,,,,Only appears in 30 personnel in this dictionary.
30,Flexbone Trips,Flexbone,Universal,Flexbone personnel with one slot flexed out to form trips side.,,,,,Only appears in 30 personnel in this dictionary.
30,Flexbone Twins / Twins Over,Flexbone,Universal,Flexbone with both WR to one side or twins-style looks.,,,,,Only appears in 30 personnel in this dictionary.
30,DIAMOND,Full House,BlitzIQ,Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR.,Use whenever you see full-house triangle/diamond backfield around the QB.,,,Full House Gun; Diamond; Train,In 30p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR. Also used in 20p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR.; in 21p: Full-house shotgun with three backs around QB (triangle/diamond) and two wide WR..
